town_code,town,n_2019
4501,ע'ג'ר,"2,659"
666,עומר,"7,530"
530,עיילבון,"5,752"
511,עילוט,"8,356"
532,עין מאהל,"13,335"
4502,עין קנייא,"2,098"
3660,עמנואל,"3,906"
534,עספיא,"12,503"
637,ערערה,"25,245"
1192,ערערה-בנגב,"18,332"
537,פוריידיס,"13,247"
535,פסוטה,"3,172"
536,פקיעין (בוקייעה),"5,893"
7800,פרדס חנה-כרכור,"43,011"
171,פרדסייה,"5,930"
3557,קדומים,"4,544"
195,קדימה-צורן,"22,683"
4100,קצרין,"7,297"
3611,קריית ארבע,"7,326"
2300,קריית טבעון,"18,130"
1137,קריית יערים,"6,128"
469,קריית עקרון,"11,001"
3640,קרני שומרון,"8,135"
543,ראמה,"7,728"
26,ראש פינה,"3,148"
542,ריינה,"19,001"
922,רכסים,"12,668"
122,רמת ישי,"7,785"
913,שבלי - אום אל-גנם,"6,053"
1286,שגב-שלום,"10,936"
1304,שוהם,"21,045"
812,שלומי,"6,511"
538,שעב,"7,061"
154,תל מונד,"13,144"
1054,תל שבע,"20,808"
מועצות אזוריות - סך הכל,,"950,022"
65,"מ""א אל-בטוף","8,039"
69,"מ""א אל קסום","15,670"
45,"מ""א אלונה","2,291"
38,"מ""א אשכול","14,467"
33,"מ""א באר טוביה","23,744"
66,"מ""א בוסתן אל מרג","7,938"
41,"מ""א בני שמעון","10,860"
28,"מ""א ברנר","8,086"
32,"מ""א גדרות","5,224"
71,"מ""א גולן","17,982"
76,"מ""א גוש עציון","24,399"
30,"מ""א גזר","27,167"
27,"מ""א גן רווה","6,517"
20,"מ""א דרום השרון","33,946"
8,"מ""א הגלבוע","30,794"
1,"מ""א הגליל העליון","18,610"
3,"מ""א הגליל התחתון","12,486"
54,"מ""א הערבה התיכונה","3,551"
78,"מ""א הר חברון","9,234"
12,"מ""א זבולון","13,623"
53,"מ""א חבל אילות","4,411"
29,"מ""א חבל יבנה","7,025"
25,"מ""א חבל מודיעין","23,764"
36,"מ""א חוף אשקלון","17,957"
19,"מ""א חוף השרון","14,425"
15,"מ""א חוף כרמל","33,138"
35,"מ""א יואב","9,040"
18,"מ""א לב השרון","23,588"
50,"מ""א לכיש","12,720"
55,"מ""א מבואות החרמון","7,351"
13,"מ""א מגידו","11,878"
74,"מ""א מגילות ים המלח","1,827"
4,"מ""א מטה אשר","29,705"
73,"מ""א מטה בנימין","69,305"
26,"מ""א מטה יהודה","60,681"
14,"מ""א מנשה","20,807"
52,"מ""א מעלה יוסף","10,792"
2,"מ""א מרום הגליל","15,524"
42,"מ""א מרחבים","14,160"
56,"מ""א משגב","29,094"
68,"מ""א נווה מדבר","12,261"
31,"מ""א נחל שורק","9,779"
6,"מ""א עמק הירדן","13,877"
7,"מ""א עמק המעיינות","13,718"
16,"מ""א עמק חפר","42,584"
9,"מ""א עמק יזרעאל","39,043"
40,"מ""א עמק לוד","15,693"
75,"מ""א ערבות הירדן","5,446"
48,"מ""א רמת נגב","8,057"
39,"מ""א שדות נגב","10,778"
72,"מ""א שומרון","45,808"
37,"מ""א שער הנגב","8,401"
34,"מ""א שפיר","11,204"
51,"מ""א תמר","1,556"
,,
